# Assembly name:  AgR_To_v5
# Organism name:  Trifolium repens (white clover)
# Infraspecific name:  cultivar=cv 'Crau'-derivative
# Taxid:          3899
# BioSample:      SAMN11016253
# BioProject:     PRJNA523044
# Submitter:      AgResearch Ltd
# Date:           2019-11-22
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    VCDJ01
# Assembly method: AllPaths v. DEC-2013
# Expected final version: no
# Genome coverage: 100.0x
# Sequencing technology: Illumina HiSeq
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_005869975.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_005871075.1		Primary Assembly
## GCA_005871225.1		non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
scaffold_5592	unplaced-scaffold	na	na	VCDJ01005592.1	<>	na	Primary Assembly	361	na
scaffold_5593	unplaced-scaffold	na	na	VCDJ01005593.1	<>	na	Primary Assembly	347	na
scaffold_5594	unplaced-scaffold	na	na	VCDJ01005594.1	<>	na	Primary Assembly	503	na
scaffold_5595	unplaced-scaffold	na	na	VCDJ01005595.1	<>	na	Primary Assembly	1889	na
scaffold_5596	unplaced-scaffold	na	na	VCDJ01005596.1	<>	na	Primary Assembly	1853	na
scaffold_5597	unplaced-scaffold	na	na	VCDJ01005597.1	<>	na	Primary Assembly	985	na
scaffold_5598	unplaced-scaffold	na	na	VCDJ01005598.1	<>	na	Primary Assembly	901	na
scaffold_5599	unplaced-scaffold	na	na	VCDJ01005599.1	<>	na	Primary Assembly	1887	na
scaffold_5600	unplaced-scaffold	na	na	VCDJ01005600.1	<>	na	Primary Assembly	1887	na
scaffold_5601	unplaced-scaffold	na	na	VCDJ01005601.1	<>	na	Primary Assembly	1682	na
scaffold_5602	unplaced-scaffold	na	na	VCDJ01005602.1	<>	na	Primary Assembly	1882	na
scaffold_5603	unplaced-scaffold	na	na	VCDJ01005603.1	<>	na	Primary Assembly	1870	na
scaffold_5604	unplaced-scaffold	na	na	VCDJ01005604.1	<>	na	Primary Assembly	1882	na
scaffold_5605	unplaced-scaffold	na	na	VCDJ01005605.1	<>	na	Primary Assembly	929	na
scaffold_5606	unplaced-scaffold	na	na	VCDJ01005606.1	<>	na	Primary Assembly	807	na
scaffold_5607	unplaced-scaffold	na	na	VCDJ01005607.1	<>	na	Primary Assembly	1876	na
scaffold_5608	unplaced-scaffold	na	na	VCDJ01005608.1	<>	na	Primary Assembly	1879	na
scaffold_5609	unplaced-scaffold	na	na	VCDJ01005609.1	<>	na	Primary Assembly	1859	na
scaffold_5610	unplaced-scaffold	na	na	VCDJ01005610.1	<>	na	Primary Assembly	1855	na
scaffold_5611	unplaced-scaffold	na	na	VCDJ01005611.1	<>	na	Primary Assembly	1880	na
scaffold_5612	unplaced-scaffold	na	na	VCDJ01005612.1	<>	na	Primary Assembly	1858	na
scaffold_5613	unplaced-scaffold	na	na	VCDJ01005613.1	<>	na	Primary Assembly	771	na
scaffold_5614	unplaced-scaffold	na	na	VCDJ01005614.1	<>	na	Primary Assembly	1042	na
scaffold_5615	unplaced-scaffold	na	na	VCDJ01005615.1	<>	na	Primary Assembly	1760	na
scaffold_5616	unplaced-scaffold	na	na	VCDJ01005616.1	<>	na	Primary Assembly	1879	na
scaffold_5617	unplaced-scaffold	na	na	VCDJ01005617.1	<>	na	Primary Assembly	1868	na
scaffold_5618	unplaced-scaffold	na	na	VCDJ01005618.1	<>	na	Primary Assembly	1869	na
scaffold_5619	unplaced-scaffold	na	na	VCDJ01005619.1	<>	na	Primary Assembly	1877	na
scaffold_5620	unplaced-scaffold	na	na	VCDJ01005620.1	<>	na	Primary Assembly	1873	na
scaffold_5621	unplaced-scaffold	na	na	VCDJ01005621.1	<>	na	Primary Assembly	1865	na
scaffold_5622	unplaced-scaffold	na	na	VCDJ01005622.1	<>	na	Primary Assembly	1863	na
scaffold_5623	unplaced-scaffold	na	na	VCDJ01005623.1	<>	na	Primary Assembly	1840	na
scaffold_5624	unplaced-scaffold	na	na	VCDJ01005624.1	<>	na	Primary Assembly	1872	na
scaffold_5625	unplaced-scaffold	na	na	VCDJ01005625.1	<>	na	Primary Assembly	1867	na
scaffold_5626	unplaced-scaffold	na	na	VCDJ01005626.1	<>	na	Primary Assembly	1197	na
scaffold_5627	unplaced-scaffold	na	na	VCDJ01005627.1	<>	na	Primary Assembly	648	na
scaffold_5628	unplaced-scaffold	na	na	VCDJ01005628.1	<>	na	Primary Assembly	1869	na
scaffold_5629	unplaced-scaffold	na	na	VCDJ01005629.1	<>	na	Primary Assembly	1867	na
scaffold_5630	unplaced-scaffold	na	na	VCDJ01005630.1	<>	na	Primary Assembly	1811	na
scaffold_5631	unplaced-scaffold	na	na	VCDJ01005631.1	<>	na	Primary Assembly	1863	na
scaffold_5632	unplaced-scaffold	na	na	VCDJ01005632.1	<>	na	Primary Assembly	1867	na
scaffold_5633	unplaced-scaffold	na	na	VCDJ01005633.1	<>	na	Primary Assembly	1860	na
scaffold_5634	unplaced-scaffold	na	na	VCDJ01005634.1	<>	na	Primary Assembly	1693	na
scaffold_5635	unplaced-scaffold	na	na	VCDJ01005635.1	<>	na	Primary Assembly	1860	na
scaffold_5636	unplaced-scaffold	na	na	VCDJ01005636.1	<>	na	Primary Assembly	1652	na
scaffold_5637	unplaced-scaffold	na	na	VCDJ01005637.1	<>	na	Primary Assembly	1830	na
scaffold_5638	unplaced-scaffold	na	na	VCDJ01005638.1	<>	na	Primary Assembly	1844	na
scaffold_5639	unplaced-scaffold	na	na	VCDJ01005639.1	<>	na	Primary Assembly	1694	na
scaffold_5640	unplaced-scaffold	na	na	VCDJ01005640.1	<>	na	Primary Assembly	1865	na
scaffold_5641	unplaced-scaffold	na	na	VCDJ01005641.1	<>	na	Primary Assembly	1865	na
scaffold_5642	unplaced-scaffold	na	na	VCDJ01005642.1	<>	na	Primary Assembly	1796	na
scaffold_5643	unplaced-scaffold	na	na	VCDJ01005643.1	<>	na	Primary Assembly	1865	na
scaffold_5644	unplaced-scaffold	na	na	VCDJ01005644.1	<>	na	Primary Assembly	1864	na
scaffold_5645	unplaced-scaffold	na	na	VCDJ01005645.1	<>	na	Primary Assembly	1860	na
scaffold_5646	unplaced-scaffold	na	na	VCDJ01005646.1	<>	na	Primary Assembly	1863	na
scaffold_5647	unplaced-scaffold	na	na	VCDJ01005647.1	<>	na	Primary Assembly	1770	na
scaffold_5648	unplaced-scaffold	na	na	VCDJ01005648.1	<>	na	Primary Assembly	1772	na
scaffold_5649	unplaced-scaffold	na	na	VCDJ01005649.1	<>	na	Primary Assembly	1861	na
scaffold_5650	unplaced-scaffold	na	na	VCDJ01005650.1	<>	na	Primary Assembly	1850	na
scaffold_5651	unplaced-scaffold	na	na	VCDJ01005651.1	<>	na	Primary Assembly	1845	na
scaffold_5652	unplaced-scaffold	na	na	VCDJ01005652.1	<>	na	Primary Assembly	787	na
scaffold_5653	unplaced-scaffold	na	na	VCDJ01005653.1	<>	na	Primary Assembly	1072	na
scaffold_5654	unplaced-scaffold	na	na	VCDJ01005654.1	<>	na	Primary Assembly	1723	na
scaffold_5655	unplaced-scaffold	na	na	VCDJ01005655.1	<>	na	Primary Assembly	1830	na
scaffold_5656	unplaced-scaffold	na	na	VCDJ01005656.1	<>	na	Primary Assembly	1781	na
scaffold_5657	unplaced-scaffold	na	na	VCDJ01005657.1	<>	na	Primary Assembly	1678	na
scaffold_5658	unplaced-scaffold	na	na	VCDJ01005658.1	<>	na	Primary Assembly	1848	na
scaffold_5659	unplaced-scaffold	na	na	VCDJ01005659.1	<>	na	Primary Assembly	1139	na
scaffold_5660	unplaced-scaffold	na	na	VCDJ01005660.1	<>	na	Primary Assembly	708	na
scaffold_5661	unplaced-scaffold	na	na	VCDJ01005661.1	<>	na	Primary Assembly	1630	na
scaffold_5662	unplaced-scaffold	na	na	VCDJ01005662.1	<>	na	Primary Assembly	1855	na
scaffold_5663	unplaced-scaffold	na	na	VCDJ01005663.1	<>	na	Primary Assembly	1768	na
scaffold_5664	unplaced-scaffold	na	na	VCDJ01005664.1	<>	na	Primary Assembly	1794	na
scaffold_5665	unplaced-scaffold	na	na	VCDJ01005665.1	<>	na	Primary Assembly	1853	na
scaffold_5666	unplaced-scaffold	na	na	VCDJ01005666.1	<>	na	Primary Assembly	1824	na
scaffold_5667	unplaced-scaffold	na	na	VCDJ01005667.1	<>	na	Primary Assembly	1800	na
scaffold_5668	unplaced-scaffold	na	na	VCDJ01005668.1	<>	na	Primary Assembly	1852	na
scaffold_5669	unplaced-scaffold	na	na	VCDJ01005669.1	<>	na	Primary Assembly	1815	na
scaffold_5670	unplaced-scaffold	na	na	VCDJ01005670.1	<>	na	Primary Assembly	1852	na
scaffold_5671	unplaced-scaffold	na	na	VCDJ01005671.1	<>	na	Primary Assembly	1837	na
scaffold_5672	unplaced-scaffold	na	na	VCDJ01005672.1	<>	na	Primary Assembly	1688	na
scaffold_5673	unplaced-scaffold	na	na	VCDJ01005673.1	<>	na	Primary Assembly	1792	na
scaffold_5674	unplaced-scaffold	na	na	VCDJ01005674.1	<>	na	Primary Assembly	1450	na
scaffold_5675	unplaced-scaffold	na	na	VCDJ01005675.1	<>	na	Primary Assembly	1849	na
scaffold_5676	unplaced-scaffold	na	na	VCDJ01005676.1	<>	na	Primary Assembly	254	na
scaffold_5677	unplaced-scaffold	na	na	VCDJ01005677.1	<>	na	Primary Assembly	1119	na
scaffold_5678	unplaced-scaffold	na	na	VCDJ01005678.1	<>	na	Primary Assembly	1644	na
scaffold_5679	unplaced-scaffold	na	na	VCDJ01005679.1	<>	na	Primary Assembly	1848	na
scaffold_5680	unplaced-scaffold	na	na	VCDJ01005680.1	<>	na	Primary Assembly	1808	na
scaffold_5681	unplaced-scaffold	na	na	VCDJ01005681.1	<>	na	Primary Assembly	1848	na
scaffold_5682	unplaced-scaffold	na	na	VCDJ01005682.1	<>	na	Primary Assembly	1693	na
scaffold_5683	unplaced-scaffold	na	na	VCDJ01005683.1	<>	na	Primary Assembly	1260	na
scaffold_5684	unplaced-scaffold	na	na	VCDJ01005684.1	<>	na	Primary Assembly	570	na
scaffold_5685	unplaced-scaffold	na	na	VCDJ01005685.1	<>	na	Primary Assembly	1832	na
scaffold_5686	unplaced-scaffold	na	na	VCDJ01005686.1	<>	na	Primary Assembly	1840	na
scaffold_5687	unplaced-scaffold	na	na	VCDJ01005687.1	<>	na	Primary Assembly	1548	na
scaffold_5688	unplaced-scaffold	na	na	VCDJ01005688.1	<>	na	Primary Assembly	295	na
scaffold_5689	unplaced-scaffold	na	na	VCDJ01005689.1	<>	na	Primary Assembly	1844	na
scaffold_5690	unplaced-scaffold	na	na	VCDJ01005690.1	<>	na	Primary Assembly	1843	na
scaffold_5691	unplaced-scaffold	na	na	VCDJ01005691.1	<>	na	Primary Assembly	1773	na
scaffold_5692	unplaced-scaffold	na	na	VCDJ01005692.1	<>	na	Primary Assembly	1806	na
scaffold_5693	unplaced-scaffold	na	na	VCDJ01005693.1	<>	na	Primary Assembly	1836	na
scaffold_5694	unplaced-scaffold	na	na	VCDJ01005694.1	<>	na	Primary Assembly	1842	na
scaffold_5695	unplaced-scaffold	na	na	VCDJ01005695.1	<>	na	Primary Assembly	1795	na
scaffold_5696	unplaced-scaffold	na	na	VCDJ01005696.1	<>	na	Primary Assembly	1841	na
scaffold_5697	unplaced-scaffold	na	na	VCDJ01005697.1	<>	na	Primary Assembly	1826	na
scaffold_5698	unplaced-scaffold	na	na	VCDJ01005698.1	<>	na	Primary Assembly	617	na
scaffold_5699	unplaced-scaffold	na	na	VCDJ01005699.1	<>	na	Primary Assembly	1221	na
scaffold_5700	unplaced-scaffold	na	na	VCDJ01005700.1	<>	na	Primary Assembly	1806	na
scaffold_5701	unplaced-scaffold	na	na	VCDJ01005701.1	<>	na	Primary Assembly	1822	na
scaffold_5702	unplaced-scaffold	na	na	VCDJ01005702.1	<>	na	Primary Assembly	1837	na
scaffold_5703	unplaced-scaffold	na	na	VCDJ01005703.1	<>	na	Primary Assembly	1837	na
scaffold_5704	unplaced-scaffold	na	na	VCDJ01005704.1	<>	na	Primary Assembly	1832	na
scaffold_5705	unplaced-scaffold	na	na	VCDJ01005705.1	<>	na	Primary Assembly	1824	na
scaffold_5706	unplaced-scaffold	na	na	VCDJ01005706.1	<>	na	Primary Assembly	1829	na
scaffold_5707	unplaced-scaffold	na	na	VCDJ01005707.1	<>	na	Primary Assembly	1784	na
scaffold_5708	unplaced-scaffold	na	na	VCDJ01005708.1	<>	na	Primary Assembly	1817	na
scaffold_5709	unplaced-scaffold	na	na	VCDJ01005709.1	<>	na	Primary Assembly	1775	na
scaffold_5710	unplaced-scaffold	na	na	VCDJ01005710.1	<>	na	Primary Assembly	1826	na
scaffold_5711	unplaced-scaffold	na	na	VCDJ01005711.1	<>	na	Primary Assembly	1805	na
scaffold_5712	unplaced-scaffold	na	na	VCDJ01005712.1	<>	na	Primary Assembly	1722	na
scaffold_5713	unplaced-scaffold	na	na	VCDJ01005713.1	<>	na	Primary Assembly	1832	na
scaffold_5714	unplaced-scaffold	na	na	VCDJ01005714.1	<>	na	Primary Assembly	1832	na
scaffold_5715	unplaced-scaffold	na	na	VCDJ01005715.1	<>	na	Primary Assembly	1831	na
scaffold_5716	unplaced-scaffold	na	na	VCDJ01005716.1	<>	na	Primary Assembly	1830	na
scaffold_5717	unplaced-scaffold	na	na	VCDJ01005717.1	<>	na	Primary Assembly	1827	na
scaffold_5718	unplaced-scaffold	na	na	VCDJ01005718.1	<>	na	Primary Assembly	1827	na
scaffold_5719	unplaced-scaffold	na	na	VCDJ01005719.1	<>	na	Primary Assembly	1825	na
scaffold_5720	unplaced-scaffold	na	na	VCDJ01005720.1	<>	na	Primary Assembly	1825	na
scaffold_5721	unplaced-scaffold	na	na	VCDJ01005721.1	<>	na	Primary Assembly	1825	na
scaffold_5722	unplaced-scaffold	na	na	VCDJ01005722.1	<>	na	Primary Assembly	1824	na
scaffold_5723	unplaced-scaffold	na	na	VCDJ01005723.1	<>	na	Primary Assembly	1814	na
scaffold_5724	unplaced-scaffold	na	na	VCDJ01005724.1	<>	na	Primary Assembly	1824	na
scaffold_5725	unplaced-scaffold	na	na	VCDJ01005725.1	<>	na	Primary Assembly	1751	na
scaffold_5726	unplaced-scaffold	na	na	VCDJ01005726.1	<>	na	Primary Assembly	1823	na
scaffold_5727	unplaced-scaffold	na	na	VCDJ01005727.1	<>	na	Primary Assembly	1822	na
scaffold_5728	unplaced-scaffold	na	na	VCDJ01005728.1	<>	na	Primary Assembly	1798	na
scaffold_5729	unplaced-scaffold	na	na	VCDJ01005729.1	<>	na	Primary Assembly	1821	na
scaffold_5730	unplaced-scaffold	na	na	VCDJ01005730.1	<>	na	Primary Assembly	1726	na
scaffold_5731	unplaced-scaffold	na	na	VCDJ01005731.1	<>	na	Primary Assembly	274	na
scaffold_5732	unplaced-scaffold	na	na	VCDJ01005732.1	<>	na	Primary Assembly	1545	na
scaffold_5733	unplaced-scaffold	na	na	VCDJ01005733.1	<>	na	Primary Assembly	1820	na
scaffold_5734	unplaced-scaffold	na	na	VCDJ01005734.1	<>	na	Primary Assembly	1783	na
scaffold_5735	unplaced-scaffold	na	na	VCDJ01005735.1	<>	na	Primary Assembly	1817	na
scaffold_5736	unplaced-scaffold	na	na	VCDJ01005736.1	<>	na	Primary Assembly	1814	na
scaffold_5737	unplaced-scaffold	na	na	VCDJ01005737.1	<>	na	Primary Assembly	1683	na
scaffold_5738	unplaced-scaffold	na	na	VCDJ01005738.1	<>	na	Primary Assembly	1804	na
scaffold_5739	unplaced-scaffold	na	na	VCDJ01005739.1	<>	na	Primary Assembly	1817	na
scaffold_5740	unplaced-scaffold	na	na	VCDJ01005740.1	<>	na	Primary Assembly	1503	na
scaffold_5741	unplaced-scaffold	na	na	VCDJ01005741.1	<>	na	Primary Assembly	715	na
scaffold_5742	unplaced-scaffold	na	na	VCDJ01005742.1	<>	na	Primary Assembly	1080	na
scaffold_5743	unplaced-scaffold	na	na	VCDJ01005743.1	<>	na	Primary Assembly	1800	na
scaffold_5744	unplaced-scaffold	na	na	VCDJ01005744.1	<>	na	Primary Assembly	1796	na
scaffold_5745	unplaced-scaffold	na	na	VCDJ01005745.1	<>	na	Primary Assembly	1815	na
scaffold_5746	unplaced-scaffold	na	na	VCDJ01005746.1	<>	na	Primary Assembly	1815	na
scaffold_5747	unplaced-scaffold	na	na	VCDJ01005747.1	<>	na	Primary Assembly	1815	na
scaffold_5748	unplaced-scaffold	na	na	VCDJ01005748.1	<>	na	Primary Assembly	1803	na
scaffold_5749	unplaced-scaffold	na	na	VCDJ01005749.1	<>	na	Primary Assembly	1798	na
scaffold_5750	unplaced-scaffold	na	na	VCDJ01005750.1	<>	na	Primary Assembly	1812	na
scaffold_5751	unplaced-scaffold	na	na	VCDJ01005751.1	<>	na	Primary Assembly	1812	na
scaffold_5752	unplaced-scaffold	na	na	VCDJ01005752.1	<>	na	Primary Assembly	1812	na
scaffold_5753	unplaced-scaffold	na	na	VCDJ01005753.1	<>	na	Primary Assembly	1789	na
scaffold_5754	unplaced-scaffold	na	na	VCDJ01005754.1	<>	na	Primary Assembly	1780	na
scaffold_5755	unplaced-scaffold	na	na	VCDJ01005755.1	<>	na	Primary Assembly	1776	na
scaffold_5756	unplaced-scaffold	na	na	VCDJ01005756.1	<>	na	Primary Assembly	426	na
scaffold_5757	unplaced-scaffold	na	na	VCDJ01005757.1	<>	na	Primary Assembly	298	na
scaffold_5758	unplaced-scaffold	na	na	VCDJ01005758.1	<>	na	Primary Assembly	1078	na
scaffold_5759	unplaced-scaffold	na	na	VCDJ01005759.1	<>	na	Primary Assembly	1809	na
scaffold_5760	unplaced-scaffold	na	na	VCDJ01005760.1	<>	na	Primary Assembly	1797	na
scaffold_5761	unplaced-scaffold	na	na	VCDJ01005761.1	<>	na	Primary Assembly	1795	na
scaffold_5762	unplaced-scaffold	na	na	VCDJ01005762.1	<>	na	Primary Assembly	1787	na
scaffold_5763	unplaced-scaffold	na	na	VCDJ01005763.1	<>	na	Primary Assembly	1792	na
scaffold_5764	unplaced-scaffold	na	na	VCDJ01005764.1	<>	na	Primary Assembly	1809	na
scaffold_5765	unplaced-scaffold	na	na	VCDJ01005765.1	<>	na	Primary Assembly	1799	na
scaffold_5766	unplaced-scaffold	na	na	VCDJ01005766.1	<>	na	Primary Assembly	1808	na
scaffold_5767	unplaced-scaffold	na	na	VCDJ01005767.1	<>	na	Primary Assembly	1750	na
scaffold_5768	unplaced-scaffold	na	na	VCDJ01005768.1	<>	na	Primary Assembly	1801	na
scaffold_5769	unplaced-scaffold	na	na	VCDJ01005769.1	<>	na	Primary Assembly	1782	na
scaffold_5770	unplaced-scaffold	na	na	VCDJ01005770.1	<>	na	Primary Assembly	1797	na
scaffold_5771	unplaced-scaffold	na	na	VCDJ01005771.1	<>	na	Primary Assembly	1785	na
scaffold_5772	unplaced-scaffold	na	na	VCDJ01005772.1	<>	na	Primary Assembly	1799	na
scaffold_5773	unplaced-scaffold	na	na	VCDJ01005773.1	<>	na	Primary Assembly	1804	na
scaffold_5774	unplaced-scaffold	na	na	VCDJ01005774.1	<>	na	Primary Assembly	1746	na
scaffold_5775	unplaced-scaffold	na	na	VCDJ01005775.1	<>	na	Primary Assembly	1556	na
scaffold_5776	unplaced-scaffold	na	na	VCDJ01005776.1	<>	na	Primary Assembly	1755	na
scaffold_5777	unplaced-scaffold	na	na	VCDJ01005777.1	<>	na	Primary Assembly	1376	na
scaffold_5778	unplaced-scaffold	na	na	VCDJ01005778.1	<>	na	Primary Assembly	425	na
scaffold_5779	unplaced-scaffold	na	na	VCDJ01005779.1	<>	na	Primary Assembly	1739	na
scaffold_5780	unplaced-scaffold	na	na	VCDJ01005780.1	<>	na	Primary Assembly	1775	na
scaffold_5781	unplaced-scaffold	na	na	VCDJ01005781.1	<>	na	Primary Assembly	1795	na
scaffold_5782	unplaced-scaffold	na	na	VCDJ01005782.1	<>	na	Primary Assembly	1773	na
scaffold_5783	unplaced-scaffold	na	na	VCDJ01005783.1	<>	na	Primary Assembly	1801	na
scaffold_5784	unplaced-scaffold	na	na	VCDJ01005784.1	<>	na	Primary Assembly	1724	na
scaffold_5785	unplaced-scaffold	na	na	VCDJ01005785.1	<>	na	Primary Assembly	1762	na
scaffold_5786	unplaced-scaffold	na	na	VCDJ01005786.1	<>	na	Primary Assembly	668	na
scaffold_5787	unplaced-scaffold	na	na	VCDJ01005787.1	<>	na	Primary Assembly	1123	na
scaffold_5788	unplaced-scaffold	na	na	VCDJ01005788.1	<>	na	Primary Assembly	1800	na
scaffold_5789	unplaced-scaffold	na	na	VCDJ01005789.1	<>	na	Primary Assembly	1724	na
scaffold_5790	unplaced-scaffold	na	na	VCDJ01005790.1	<>	na	Primary Assembly	1799	na
scaffold_5791	unplaced-scaffold	na	na	VCDJ01005791.1	<>	na	Primary Assembly	1798	na
scaffold_5792	unplaced-scaffold	na	na	VCDJ01005792.1	<>	na	Primary Assembly	1798	na
scaffold_5793	unplaced-scaffold	na	na	VCDJ01005793.1	<>	na	Primary Assembly	1798	na
scaffold_5794	unplaced-scaffold	na	na	VCDJ01005794.1	<>	na	Primary Assembly	552	na
scaffold_5795	unplaced-scaffold	na	na	VCDJ01005795.1	<>	na	Primary Assembly	1172	na
scaffold_5796	unplaced-scaffold	na	na	VCDJ01005796.1	<>	na	Primary Assembly	1785	na
scaffold_5797	unplaced-scaffold	na	na	VCDJ01005797.1	<>	na	Primary Assembly	1773	na
scaffold_5798	unplaced-scaffold	na	na	VCDJ01005798.1	<>	na	Primary Assembly	1778	na
scaffold_5799	unplaced-scaffold	na	na	VCDJ01005799.1	<>	na	Primary Assembly	1762	na
scaffold_5800	unplaced-scaffold	na	na	VCDJ01005800.1	<>	na	Primary Assembly	816	na
scaffold_5801	unplaced-scaffold	na	na	VCDJ01005801.1	<>	na	Primary Assembly	913	na
scaffold_5802	unplaced-scaffold	na	na	VCDJ01005802.1	<>	na	Primary Assembly	1782	na
scaffold_5803	unplaced-scaffold	na	na	VCDJ01005803.1	<>	na	Primary Assembly	1770	na
scaffold_5804	unplaced-scaffold	na	na	VCDJ01005804.1	<>	na	Primary Assembly	224	na
scaffold_5805	unplaced-scaffold	na	na	VCDJ01005805.1	<>	na	Primary Assembly	1299	na
scaffold_5806	unplaced-scaffold	na	na	VCDJ01005806.1	<>	na	Primary Assembly	453	na
scaffold_5807	unplaced-scaffold	na	na	VCDJ01005807.1	<>	na	Primary Assembly	1311	na
scaffold_5808	unplaced-scaffold	na	na	VCDJ01005808.1	<>	na	Primary Assembly	1789	na
scaffold_5809	unplaced-scaffold	na	na	VCDJ01005809.1	<>	na	Primary Assembly	1789	na
scaffold_5810	unplaced-scaffold	na	na	VCDJ01005810.1	<>	na	Primary Assembly	1696	na
scaffold_5811	unplaced-scaffold	na	na	VCDJ01005811.1	<>	na	Primary Assembly	1788	na
scaffold_5812	unplaced-scaffold	na	na	VCDJ01005812.1	<>	na	Primary Assembly	1686	na
scaffold_5813	unplaced-scaffold	na	na	VCDJ01005813.1	<>	na	Primary Assembly	1785	na
scaffold_5814	unplaced-scaffold	na	na	VCDJ01005814.1	<>	na	Primary Assembly	1645	na
scaffold_5815	unplaced-scaffold	na	na	VCDJ01005815.1	<>	na	Primary Assembly	1777	na
scaffold_5816	unplaced-scaffold	na	na	VCDJ01005816.1	<>	na	Primary Assembly	1785	na
scaffold_5817	unplaced-scaffold	na	na	VCDJ01005817.1	<>	na	Primary Assembly	1785	na
scaffold_5818	unplaced-scaffold	na	na	VCDJ01005818.1	<>	na	Primary Assembly	1777	na
scaffold_5819	unplaced-scaffold	na	na	VCDJ01005819.1	<>	na	Primary Assembly	1766	na
scaffold_5820	unplaced-scaffold	na	na	VCDJ01005820.1	<>	na	Primary Assembly	1773	na
scaffold_5821	unplaced-scaffold	na	na	VCDJ01005821.1	<>	na	Primary Assembly	1561	na
scaffold_5822	unplaced-scaffold	na	na	VCDJ01005822.1	<>	na	Primary Assembly	1759	na
scaffold_5823	unplaced-scaffold	na	na	VCDJ01005823.1	<>	na	Primary Assembly	1731	na
scaffold_5824	unplaced-scaffold	na	na	VCDJ01005824.1	<>	na	Primary Assembly	1777	na
scaffold_5825	unplaced-scaffold	na	na	VCDJ01005825.1	<>	na	Primary Assembly	1781	na
scaffold_5826	unplaced-scaffold	na	na	VCDJ01005826.1	<>	na	Primary Assembly	1648	na
scaffold_5827	unplaced-scaffold	na	na	VCDJ01005827.1	<>	na	Primary Assembly	1747	na
scaffold_5828	unplaced-scaffold	na	na	VCDJ01005828.1	<>	na	Primary Assembly	1767	na
scaffold_5829	unplaced-scaffold	na	na	VCDJ01005829.1	<>	na	Primary Assembly	1774	na
scaffold_5830	unplaced-scaffold	na	na	VCDJ01005830.1	<>	na	Primary Assembly	1778	na
scaffold_5831	unplaced-scaffold	na	na	VCDJ01005831.1	<>	na	Primary Assembly	1704	na
scaffold_5832	unplaced-scaffold	na	na	VCDJ01005832.1	<>	na	Primary Assembly	1765	na
scaffold_5833	unplaced-scaffold	na	na	VCDJ01005833.1	<>	na	Primary Assembly	1571	na
scaffold_5834	unplaced-scaffold	na	na	VCDJ01005834.1	<>	na	Primary Assembly	1753	na
scaffold_5835	unplaced-scaffold	na	na	VCDJ01005835.1	<>	na	Primary Assembly	1777	na
scaffold_5836	unplaced-scaffold	na	na	VCDJ01005836.1	<>	na	Primary Assembly	1777	na
scaffold_5837	unplaced-scaffold	na	na	VCDJ01005837.1	<>	na	Primary Assembly	942	na
scaffold_5838	unplaced-scaffold	na	na	VCDJ01005838.1	<>	na	Primary Assembly	831	na
scaffold_5839	unplaced-scaffold	na	na	VCDJ01005839.1	<>	na	Primary Assembly	1775	na
scaffold_5840	unplaced-scaffold	na	na	VCDJ01005840.1	<>	na	Primary Assembly	1721	na
scaffold_5841	unplaced-scaffold	na	na	VCDJ01005841.1	<>	na	Primary Assembly	1761	na
scaffold_5842	unplaced-scaffold	na	na	VCDJ01005842.1	<>	na	Primary Assembly	1746	na
scaffold_5843	unplaced-scaffold	na	na	VCDJ01005843.1	<>	na	Primary Assembly	1774	na
scaffold_5844	unplaced-scaffold	na	na	VCDJ01005844.1	<>	na	Primary Assembly	1773	na
scaffold_5845	unplaced-scaffold	na	na	VCDJ01005845.1	<>	na	Primary Assembly	1772	na
scaffold_5846	unplaced-scaffold	na	na	VCDJ01005846.1	<>	na	Primary Assembly	746	na
scaffold_5847	unplaced-scaffold	na	na	VCDJ01005847.1	<>	na	Primary Assembly	989	na
scaffold_5848	unplaced-scaffold	na	na	VCDJ01005848.1	<>	na	Primary Assembly	1241	na
scaffold_5849	unplaced-scaffold	na	na	VCDJ01005849.1	<>	na	Primary Assembly	208	na
scaffold_5850	unplaced-scaffold	na	na	VCDJ01005850.1	<>	na	Primary Assembly	251	na
scaffold_5851	unplaced-scaffold	na	na	VCDJ01005851.1	<>	na	Primary Assembly	1648	na
scaffold_5852	unplaced-scaffold	na	na	VCDJ01005852.1	<>	na	Primary Assembly	1771	na
scaffold_5853	unplaced-scaffold	na	na	VCDJ01005853.1	<>	na	Primary Assembly	1720	na
scaffold_5854	unplaced-scaffold	na	na	VCDJ01005854.1	<>	na	Primary Assembly	1189	na
scaffold_5855	unplaced-scaffold	na	na	VCDJ01005855.1	<>	na	Primary Assembly	571	na
